source,target,weights,type
A41,D75,6.56483782594e-06,undirected
C18,K26,9.88497839144e-06,undirected
E63,N83,4.69488777938e-06,undirected
D48,M81,4.22469787534e-06,undirected
N36,N88,6.28330149794e-06,undirected
E11,M81,3.91306794551e-06,undirected
L24,N76,4.81557015737e-06,undirected
I48,N31,3.5261824557e-06,undirected
N89,O47,1.0976205416e-05,undirected
E02,N32,3.38806641694e-06,undirected
H18,H57,7.69333676357e-06,undirected
D69,I82,3.77764480468e-06,undirected
N70,N93,4.56327424053e-06,undirected
D36,H58,3.70409088028e-06,undirected
M81,N83,4.31872965184e-06,undirected
E06,E65,3.48088794585e-06,undirected
G57,M48,4.1428256912e-06,undirected
D24,N63,7.2457993664e-06,undirected
C20,D24,3.46043511511e-06,undirected
I65,N63,4.8267092026e-06,undirected
J44,J98,3.90647502316e-06,undirected
N63,N87,5.11840256703e-06,undirected
L85,L99,5.79073324975e-06,undirected
G40,G43,5.16578969119e-06,undirected
G51,K07,3.49965997622e-06,undirected
F43,I47,3.45645093391e-06,undirected
I26,J44,8.9601720353e-06,undirected
D20,L08,4.44368267027e-06,undirected
N91,O03,8.71771854716e-06,undirected
N70,N76,6.16164756173e-06,undirected
C18,C83,1.1301851591e-05,undirected
L28,L40,5.93311287747e-06,undirected
K63,N86,3.64685503582e-05,undirected
N31,N32,1.59780142524e-05,undirected
C91,D63,5.69176112403e-06,undirected
L99,M50,4.48971382074e-06,undirected
J31,J34,4.51656741916e-06,undirected
E02,F06,4.77637034065e-06,undirected
E14,I89,4.56884628324e-06,undirected
N76,N92,4.53486327586e-06,undirected
C44,D04,8.45417218859e-06,undirected
H58,N10,3.64660063888e-06,undirected
H01,H16,3.66832201913e-06,undirected
D46,D64,1.67611253769e-05,undirected
D27,M81,4.6533184029e-06,undirected
M46,M70,6.79734147818e-06,undirected
A46,I87,6.66000666001e-06,undirected
N11,N39,4.7575347799e-06,undirected
C73,C80,2.58396330359e-05,undirected
A41,O42,8.63070424821e-06,undirected
L57,L72,3.83756028219e-06,undirected
K61,K92,5.76867276108e-06,undirected
C44,C90,4.5453049351e-06,undirected
K60,N36,7.86455416463e-06,undirected
C16,C43,2.08391219783e-05,undirected
L92,L98,4.79948344164e-06,undirected
G56,M06,3.92001670289e-06,undirected
