id,label,cluster
L72,L72,4
L73,L73,6
L70,L70,6
O26,O26,5
O23,O23,5
O20,O20,5
O21,O21,5
K40,K40,4
K42,K42,1
G51,G51,4
G57,G57,4
G56,G56,4
G58,G58,4
E65,E65,6
E66,E66,6
J22,J22,3
J21,J21,2
J20,J20,2
D75,D75,3
N92,N92,6
N93,N93,6
N91,N91,6
N97,N97,6
N94,N94,6
N95,N95,4
F06,F06,3
P12,P12,4
I51,I51,3
I50,I50,3
C44,C44,3
C43,C43,3
M24,M24,6
H11,H11,4
M20,M20,4
M21,M21,2
M22,M22,6
M23,M23,4
K35,K35,6
B97,B97,6
L40,L40,4
E22,E22,4
E23,E23,4
O80,O80,5
O82,O82,5
L30,L30,4
F41,F41,6
F40,F40,4
F43,F43,6
K31,K31,4
K30,K30,4
D36,D36,4
M48,M48,3
A90,A90,6
N48,N48,4
N41,N41,4
N40,N40,4
N45,N45,6
N47,N47,2
N46,N46,6
P59,P59,5
K80,K80,4
K81,K81,4
K76,K76,4
D48,D48,4
D46,D46,3
A08,A08,2
A09,A09,1
A00,A00,4
A06,A06,1
A05,A05,6
I00,I00,3
I05,I05,4
M54,M54,4
M51,M51,4
M50,M50,4
M53,M53,4
C34,C34,3
E63,E63,6
H57,H57,4
H50,H50,2
H51,H51,6
H52,H52,4
H53,H53,4
H58,H58,4
L08,L08,4
L05,L05,6
L03,L03,3
L02,L02,4
L01,L01,2
L64,L64,6
F80,F80,1
G40,G40,4
G43,G43,6
G44,G44,6
G45,G45,3
G47,G47,4
E50,E50,6
B34,B34,1
B35,B35,4
B36,B36,4
B37,B37,1
B30,B30,1
J34,J34,6
J35,J35,1
J37,J37,4
J30,J30,1
J31,J31,4
J32,J32,4
J33,J33,4
O42,O42,5
J38,J38,4
J39,J39,1
O47,O47,5
D04,D04,3
I34,I34,4
A46,A46,3
A41,A41,3
A49,A49,3
N10,N10,4
N11,N11,3
N18,N18,3
I48,I48,3
I49,I49,3
I47,I47,3
H25,H25,3
C73,C73,4
H26,H26,3
D16,D16,4
E10,E10,3
Q82,Q82,4
M10,M10,4
M13,M13,4
M15,M15,3
M17,M17,3
M16,M16,3
M19,M19,3
L50,L50,1
L57,L57,3
E11,E11,3
J44,J44,3
J40,J40,1
C92,C92,3
C91,C91,3
C90,C90,3
O02,O02,5
O03,O03,6
E14,E14,3
D21,D21,4
K29,K29,4
D25,D25,4
K20,K20,4
K21,K21,4
K26,K26,3
D24,D24,4
E86,E86,3
E83,E83,4
E88,E88,6
N50,N50,4
D50,D50,3
I70,I70,3
N23,N23,6
N21,N21,4
N20,N20,4
C20,C20,3
M43,M43,4
M40,M40,6
M41,M41,6
M46,M46,3
M47,M47,3
H61,H61,3
H60,H60,1
H65,H65,2
H66,H66,2
H18,H18,4
H83,H83,3
H81,H81,3
L85,L85,3
L84,L84,4
L82,L82,4
L81,L81,6
L80,L80,4
H10,H10,1
M25,M25,4
J98,J98,1
B01,B01,2
B00,B00,1
B02,B02,3
H16,H16,4
B07,B07,4
B08,B08,2
H17,H17,4
Q21,Q21,2
J01,J01,4
J00,J00,1
J03,J03,1
J02,J02,1
J04,J04,1
J06,J06,1
K12,K12,2
K11,K11,3
D17,D17,4
D12,D12,4
D13,D13,4
I20,I20,3
I21,I21,3
D18,D18,4
I25,I25,3
I26,I26,3
N64,N64,4
N63,N63,4
N62,N62,6
N60,N60,4
J45,J45,1
F90,F90,1
K62,K62,4
K63,K63,4
K60,K60,4
K61,K61,4
C67,C67,3
C61,C61,3
I95,I95,3
M94,M94,6
M72,M72,4
M71,M71,4
M70,M70,4
M77,M77,4
M76,M76,4
M75,M75,4
M79,M79,4
C18,C18,3
C12,C12,4
C16,C16,3
M06,M06,4
H33,H33,3
M05,M05,4
H36,H36,3
H35,H35,3
L65,L65,4
G30,G30,3
L60,L60,4
L63,L63,6
E06,E06,4
E07,E07,4
E04,E04,4
E05,E05,4
E02,E02,4
E03,E03,4
C80,C80,3
C83,C83,3
O33,O33,5
G80,G80,1
Q66,Q66,2
K59,K59,3
K58,K58,4
K57,K57,3
K52,K52,1
K51,K51,4
K50,K50,4
E78,E78,4
N85,N85,4
N84,N84,4
N87,N87,6
N86,N86,6
N80,N80,6
N83,N83,6
N89,N89,6
N88,N88,6
F31,F31,6
F32,F32,4
F33,F33,6
D69,D69,3
D68,D68,3
D64,D64,3
D63,D63,3
A63,A63,6
I64,I64,3
N39,N39,3
I67,I67,3
P07,P07,2
N30,N30,3
N31,N31,3
N32,N32,3
N34,N34,6
N36,N36,6
C56,C56,3
C50,C50,3
H02,H02,3
H01,H01,4
H00,H00,4
H04,H04,3
I65,I65,3
H90,H90,3
H91,H91,3
H92,H92,1
H93,H93,3
L90,L90,6
L91,L91,6
L92,L92,3
L98,L98,4
L99,L99,4
E34,E34,4
B18,B18,4
O62,O62,5
L21,L21,4
L20,L20,1
L23,L23,4
L25,L25,4
L24,L24,6
J18,J18,3
L29,L29,4
L28,L28,1
J15,J15,3
J13,J13,2
J10,J10,4
J11,J11,1
K07,K07,4
I15,I15,3
D20,D20,4
D23,D23,4
D22,D22,4
I11,I11,3
I10,I10,3
D27,D27,6
N76,N76,6
N77,N77,6
N70,N70,6
N72,N72,6
N73,N73,6
K92,K92,3
I89,I89,3
I82,I82,3
I83,I83,4
I80,I80,3
I86,I86,6
I87,I87,3
I84,I84,4
M81,M81,3
M62,M62,6
M65,M65,4
M66,M66,4
M67,M67,4
E28,E28,6
H44,H44,6
H43,H43,4
H40,H40,3
