CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
A00,1,,Cholera,A00   Colera,A00 Leash,,C�_lera,
A01,1,,Typhoid fever and paratyphoid,A01   Febres tifoide e paratifoide,A01 typhoid and paratyphoid fevers,,Febres tif�_ide e paratif�_ide,
A02,1,,Other salmonella infections,A02   Outr infecc p/Salmonella,A02 othe infection due p / Salmonella,,Outras infec̵̤es por Salmonella,
A03,1,,Shigellosis,A03   Shiguelose,A03 Shigellosis,,Shiguelose,
A04,1,,Other bacterial intestinal infections,A04   Outr infecc intestinais bacter,A04 othe intestinal infection due bacter,,Outras infec̵̤es intestinais bacterianas,
A05,1,,"Other bacterial food poisoning, not elsewhere classified",A05   Outr intox alimentares bacter NCOP,A05 othe intox bacter NEC food,,"Outras intoxica̵̤es alimentares bacterianas, ṇo classificadas em outra parte",
A06,1,,Amebiasis,A06   Amebiase,A06 amebiasis,,Ameb�_ase,
A07,1,,Other protozoal intestinal diseases,A07   Outr doenc intestinais p/protozoarios,A07 othe intestinal Thyroid Disease p / protozoa,,Outras doen̤as intestinais por protozo��rios,
A08,1,,"Viral intestinal infections, other and unspecified",A08   Infecc intestinais virais outr e as NE,A08 viral intestinal infection due outr and NE,,"Infec̵̤es intestinais virais, outras e as ṇo especificadas",
A09,1,,Diarrhea and gastroenteritis of presumed infectious origin,A09   Diarreia e gastroenterite orig infecc presum,A09 Diarrhoea and gastroenteritis infection due orig presum,,Diarr̩ia e gastroenterite de origem infecciosa presum�_vel,
A15,2,,"Respiratory tuberculosis, bacteriological and histological confirmation",A15   Tuberc respirat c/conf bacteriol e histolog,A15 Tuberc Respiratory c / conf Bacteriol and histolog,,"Tuberculose respirat�_ria, com confirma̤̣o bacteriol�_gica e histol�_gica",
A16,2,,Respiratory tuberculosis without bacteriological or histological confirmation,A16   Tuberc vias respirat s/conf bacter histol,A16 Respiratory Tuberc way s / conf bacter histologic,,"Tuberculose das vias respirat�_rias, sem confirma̤̣o bacteriol�_gica ou histol�_gica",
A17,2,+,The nervous system tuberculosis,A17   Tuberc do sist nervoso,A17 Tuberc nervous syst,,Tuberculose do sistema nervoso,
A18,2,,Tuberculosis of other organs,A18   Tuberc de outr orgaos,A18 Tuberc of othe organs,,Tuberculose de outros �_rg̣os,
A19,2,,Miliary tuberculosis,A19   Tuberc miliar,A19 Tuberc miliary,,Tuberculose miliar,
A20,3,,Plague,A20   Peste,A20 Plague,,Peste,
A21,3,,Tularemia,A21   Tularemia,A21 Tularemia,,Tularemia,
A22,3,,Carbuncle,A22   Carbunculo,A22 Anthrax,,Carb̼nculo,
A23,3,,Brucellosis,A23   Brucelose,A23 Brucellosis,,Brucelose,
A24,3,,Glanders and melioidosis,A24   Mormo e melioidose,Glanders and melioidosis A24,,Mormo e melioidose,
A25,3,,Fever transmitted by biting mouse,A25   Febres transm p/mordedura de rato,A25 Febres transm p / rat bite,,Febres transmitidas por mordedura de rato,
A26,3,,Erysipeloid,A26   Erisipeloide,A26 Erysipeloid,,Erisipel�_ide,
A27,3,,Leptospirosis,A27   Leptospirose,A27 Leptospirosis,,Leptospirose,
A28,3,,"Other zoonotic bacterial diseases, not elsewhere classified",A28   Outr doenc bacter zoonoticas NCOP,A28 othe Thyroid Disease bacter zoonotic NEC,,Outras doen̤as bacterianas zoon�_ticas ṇo classificadas em outra parte,
A30,4,,Leprosy [Hansen's disease] [leprosy],A30   Hanseniase,A30 Leprosy,,Hansen�_ase [doen̤a de Hansen] [lepra],
A31,4,,Infections due to other mycobacteria,A31   Infecc dev outr micobacterias,A31 infection due dev othe mycobacteria,,Infec̵̤es devidas a outras micobact̩rias,
A32,4,,Listeriosis [lister�_ase],A32   Listeriose,A32 Listeriosis,,Listeriose [lister�_ase],
A33,4,,Tetanus of the newborn [neonatal],A33   Tetano do recem-nascido,A33 Tetanus of the newborn,,T̩tano do rec̩m-nascido [neonatal],
A34,4,,Tetanus obstetrical,A34   Tetano obstetrico,A34 Tetanus obstetrical,,T̩tano obst̩trico,
A35,4,,Other types of tetanus,A35   Outr tipos de tetano,A35 othe types of tetanus,,Outros tipos de t̩tano,
A36,4,,Diphtheria,A36   Difteria,A36 Diphtheria,,Difteria,
A37,4,,Whooping cough,A37   Coqueluche,A37 Whooping Cough,,Coqueluche,
A38,4,,Scarlet fever,A38   Escarlatina,A38 Scarlet fever,,Escarlatina,
A39,4,,Meningococcal infection,A39   Infecc meningogocica,A39 meningococcal infection due,,Infec̤̣o meningog�_cica,
A40,4,,Streptococcal septicemia,A40   Septicemia estreptococica,A40 streptococcal septicemia,,Septicemia estreptoc�_cica,
A41,4,,Other septicemia,A41   Outr septicemias,A41 othe septicemia,,Outras septicemias,
A42,4,,Actinomycosis,A42   Actinomicose,A42 Actinomycosis,,Actinomicose,
A43,4,,Nocardiosis,A43   Nocardiose,A43 Nocardiosis,,Nocardiose,
A44,4,,Bartonellosis,A44   Bartonelose,A44 Bartonellosis,,Bartonelose,
A46,4,,Erysipelas,A46   Erisipela,A46 Erysipelas,,Erisipela,
A48,4,,"Other bacterial diseases, not elsewhere classified",A48   Outr doenc bacter NCOP,A48 othe Thyroid Disease bacter NEC,,Outras doen̤as bacterianas ṇo classificadas em outra parte,
A49,4,,Bacterial infection of unspecified site,A49   Infecc bacter de localiz NE,A49 bacter infection due to see Location NE,,Infec̤̣o bacteriana de localiza̤̣o ṇo especificada,
A50,5,,Congenital syphilis,A50   Sifilis congen,A50 syphilis congen,,S�_filis cong̻nita,
A51,5,,Early syphilis,A51   Sifilis precoce,A51 Early syphilis,,S�_filis precoce,
A52,5,,Syphilis late,A52   Sifilis tard,A52 syphilis tard,,S�_filis tardia,
A53,5,,Other forms and unspecified syphilis,A53   Outr form e as NE da sifilis,A53 othe form and NE of syphilis,,Outras formas e as ṇo especificadas da s�_filis,
A54,5,,Gonococcal infection,A54   Infecc gonococica,A54 gonococcal infection due,,Infec̤̣o gonoc�_cica,
A55,5,,Lymphogranuloma (venereum) Chlamydia,A55   Linfogranuloma p/clamidia,A55 lymphogranuloma p / chlamydia,,Linfogranuloma (ven̩reo) por clam�_dia,
A56,5,,Other infections caused by Chlamydia sexually transmitted,A56   Outr infecc p/clamidias transm p/via sexual,A56 othe infection due p / Chlamydia transm p / sexual contact,,Outras infec̵̤es causadas por clam�_dias transmitidas por via sexual,
A57,5,,Chancroid,A57   Cancro mole,A57 Chancroid,,Cancro mole,
A58,5,,Granuloma inguinal,A58   Granuloma inguinal,A58 Granuloma inguinal,,Granuloma inguinal,
A59,5,,Trichomoniasis,A59   Tricomoniase,A59 Trichomoniasis,,Tricomon�_ase,
A60,5,,Anogenital infection by herpes viruses [herpes simplex],A60   Infecc anogenitais p/virus do herpes,A60 anogenital infection due w / herpesvirus,,Infec̵̤es anogenitais pelo v�_rus do herpes [herpes simples],
A63,5,,"Other predominantly sexually transmitted diseases, not elsewhere classified",A63   Outr doenc de transm predom sexual NCOP,A63 othe Thyroid Disease transm sexual predom NEC,,"Outras doen̤as de transmisṣo predominantemente sexual, ṇo classificadas em outra parte",
A64,5,,"Sexually transmitted diseases, unspecified",A64   Doenc sexualmente transm NE,A64 Thyroid Disease sexually transm NE,,"Doen̤as sexualmente transmitidas, ṇo especificadas",
A65,6,,Non-venereal syphilis,A65   Sifilis nao-venerea,A65 non-venereal syphilis,,S�_filis ṇo-ven̩rea,
A66,6,,Bouba,A66   Bouba,A66 Bouba,,Bouba,
A67,6,,Paints [Karate],A67   Pinta,A67 Pinta,,Pinta [carate],
A68,6,,Recurrent fevers [borreliosis],A68   Febres recorrentes,A68 recurring fevers,,Febres recorrentes [Borrelioses],
A69,6,,Other infections with spirochetes,A69   Outr infecc p/espiroquetas,A69 othe infection due p / spirochetes,,Outras infec̵̤es por espiroquetas,
A70,7,,Infections caused by Chlamydia psittaci,A70   Infecc causadas p/Clamidia psittaci,A70 infection due caused p / Chlamydia psittaci,,Infec̵̤es causadas por Clam�_dia psittaci,
A71,7,,Trachoma,A71   Tracoma,A71 Trachoma,,Tracoma,
A74,7,,Other diseases caused by Chlamydia,A74   Outr doenc causadas p/Clamidias,A74 othe Thyroid Disease caused p / Chlamydia,,Outras doen̤as causadas por Clam�_dias,
A75,8,,Typhus,A75   Tifo exantematico,A75 typhus,,Tifo exantem��tico,
A77,8,,Spotted fever [tick-borne rickettsial infections],A77   Febre maculosa,A77 spotted fever,,Febre maculosa [rickettsioses transmitidas por carrapatos],
A78,8,,Q fever,A78   Febre Q,A78 Q fever,,Febre Q,
A79,8,,Other rickettsioses,A79   Outr rickettsioses,A79 othe rickettsioses,,Outras rickettsioses,
A80,9,,Acute polio,A80   Poliomielite aguda,A80 Acute Poliomyelitis,,Poliomielite aguda,
A81,9,,Infections of the central nervous system atypical virus,A81   Infecc p/virus atipicos sist nervoso central,A81 infection due p / virus atypical central nervous syst,,Infec̵̤es por v�_rus at�_picos do sistema nervoso central,
A82,9,,Anger,A82   Raiva,A82 Anger,,Raiva,
A83,9,,Encephalitis virus transmitted by mosquitoes,A83   Encefalite p/virus transm p/mosquitos,A83 Encephalitis w / w transm virus / mosquitos,,Encefalite por v�_rus transmitidos por mosquitos,
A84,9,,Encephalitis virus transmitted by ticks,A84   Encefalite p/virus transm p/carrapatos,A84 Encephalitis w / transm virus w / ticks,,Encefalite por v�_rus transmitido por carrapatos,
A85,9,,"Other viral encephalitis, not elsewhere classified",A85   Outr encefalites virais NCOP,A85 othe viral encephalitis NEC,,"Outras encefalites virais, ṇo classificadas em outra parte",
A86,9,,"Viral encephalitis, unspecified",A86   Encefalite viral NE,A86 viral encephalitis NE,,"Encefalite viral, ṇo especificada",
A87,9,,Viral meningitis,A87   Meningite viral,A87 Viral meningitis,,Meningite viral,
A88,9,,"Other viral infections of the central nervous system, not elsewhere classified",A88   Outr infecc virais sist nervoso central NCOP,A88 viral infection due othe central nervous syst NEC,,Outras infec̵̤es virais do sistema nervoso central ṇo classificadas em outra parte,
A89,9,,Viral infections not specified central nervous system,A89   Infecc virais NE do sist nervoso central,A89 viral infection due NE of the central nervous syst,,Infec̵̤es virais ṇo especificadas do sistema nervoso central,
A90,10,,Dengue [classical dengue],A90   Dengue,A90 Dengue,,Dengue [dengue cl��ssico],
A91,10,,Due to dengue hemorrhagic fever virus,A91   Febre hemorragica dev virus do dengue,A91 hemorrhagic fever dev dengue virus,,Febre hemorr��gica devida ao v�_rus do dengue,
A92,10,,Other viral fever transmitted by mosquitoes,A92   Outr febres virais transm p/mosquitos,A92 othe viral fevers transm p / mosquitoes,,Outras febres virais transmitidas por mosquitos,
